dataset,class_id,class,points,point_%_excl_ignore,patch_presence_%,num_patches
ECLAIR,1,ground,307205691,51.80514893000361,99.85974754558204,1426
ECLAIR,2,vegetation,271330611,45.75541119166271,96.14305750350631,1426
ECLAIR,3,buildings,10047262,1.6943042381619353,32.25806451612903,1426
ECLAIR,4,wires,2900918,0.4891917481558902,43.19775596072931,1426
ECLAIR,5,poles,373617,0.06300431565827067,41.79523141654979,1426
ECLAIR,6,fence,580776,0.09793824807422521,42.91725105189341,1426
ECLAIR,7,vehicle,563360,0.09500132828335799,27.068723702664798,1426
DALES,1,ground,246893458,49.61361783563139,99.53734302709847,1513
DALES,2,vegetation,162282348,32.61088592773057,98.08327825512228,1513
DALES,3,buildings,80362827,16.149032944278982,80.96497025776603,1513
DALES,4,wires,1030298,0.2070399582188012,36.74818241903503,1513
DALES,5,poles,369648,0.07428133071758211,50.23132848645076,1513
DALES,6,fence,2136996,0.4294326132378644,62.59087904824852,1513
DALES,7,vehicle,4556867,0.9157093901848143,60.67415730337079,1513
