dataset,focus_class,other_class,num_focus_patches,num_both_patches,P(other | focus),note,n,q00,q01,q05,q10,q25,q50,q75,q90,q95,q99,q100
ECLAIR,wires,ground,616,616,1.0,,,,,,,,,,,,,
ECLAIR,wires,vegetation,616,613,0.9951298701298701,,,,,,,,,,,,,
ECLAIR,wires,buildings,616,285,0.46266233766233766,,,,,,,,,,,,,
ECLAIR,wires,fence,616,358,0.5811688311688312,,,,,,,,,,,,,
ECLAIR,wires,vehicle,616,260,0.42207792207792205,,,,,,,,,,,,,
ECLAIR,wires,ground,616,616,1.0,counts_of_other_given_focus_present_and_other_present,616.0,5.0,1362.2,18380.25,45958.5,116037.5,247621.5,447003.75,833142.5,1137884.75,1940804.8000000017,2458463.0
ECLAIR,wires,vegetation,616,613,0.9951298701298701,counts_of_other_given_focus_present_and_other_present,613.0,4.0,58.2,1235.8000000000002,6573.6,58945.0,188567.0,414708.0,659970.4000000006,1020235.6,1730989.7599999995,2242531.0
ECLAIR,wires,buildings,616,285,0.46266233766233766,counts_of_other_given_focus_present_and_other_present,285.0,1.0,1.0,35.20000000000003,197.20000000000002,1780.0,7968.0,30971.0,76519.39999999995,108667.80000000005,203770.84000000072,322808.0
ECLAIR,wires,fence,616,358,0.5811688311688312,counts_of_other_given_focus_present_and_other_present,358.0,1.0,1.0,1.8500000000000014,3.0,17.0,229.0,1277.25,4274.800000000002,6344.999999999988,11005.470000000007,18666.0
ECLAIR,wires,vehicle,616,260,0.42207792207792205,counts_of_other_given_focus_present_and_other_present,260.0,1.0,1.0,4.950000000000001,21.900000000000002,147.75,615.5,2130.25,5429.799999999999,7137.399999999998,15406.00000000004,26109.0
ECLAIR,poles,ground,596,596,1.0,,,,,,,,,,,,,
ECLAIR,poles,vegetation,596,595,0.9983221476510067,,,,,,,,,,,,,
ECLAIR,poles,buildings,596,305,0.511744966442953,,,,,,,,,,,,,
ECLAIR,poles,fence,596,378,0.6342281879194631,,,,,,,,,,,,,
ECLAIR,poles,vehicle,596,291,0.48825503355704697,,,,,,,,,,,,,
ECLAIR,poles,ground,596,596,1.0,counts_of_other_given_focus_present_and_other_present,596.0,5.0,2453.85,21785.75,42208.0,104102.25,227104.0,441540.75,797538.5,1090577.0,1883630.3999999966,2458463.0
ECLAIR,poles,vegetation,596,595,0.9983221476510067,counts_of_other_given_focus_present_and_other_present,595.0,5.0,195.40000000000003,2846.9,8746.600000000002,57059.0,156866.0,369623.5,651826.0000000001,979186.0999999989,1647480.4599999993,2242531.0
ECLAIR,poles,buildings,596,305,0.511744966442953,counts_of_other_given_focus_present_and_other_present,305.0,1.0,1.04,56.0,231.8,1904.0,9705.0,32600.0,81535.80000000006,119926.2000000002,197911.11999999956,322808.0
ECLAIR,poles,fence,596,378,0.6342281879194631,counts_of_other_given_focus_present_and_other_present,378.0,1.0,1.0,2.0,5.0,45.5,344.5,1416.0,4436.600000000001,6268.05,10799.670000000018,18666.0
ECLAIR,poles,vehicle,596,291,0.48825503355704697,counts_of_other_given_focus_present_and_other_present,291.0,1.0,1.0,5.0,21.0,167.5,583.0,1920.5,5052.0,6965.0,14637.300000000043,26109.0
DALES,wires,ground,556,556,1.0,,,,,,,,,,,,,
DALES,wires,vegetation,556,556,1.0,,,,,,,,,,,,,
DALES,wires,buildings,556,515,0.9262589928057554,,,,,,,,,,,,,
DALES,wires,fence,556,498,0.89568345323741,,,,,,,,,,,,,
DALES,wires,vehicle,556,487,0.8758992805755396,,,,,,,,,,,,,
DALES,wires,ground,556,556,1.0,counts_of_other_given_focus_present_and_other_present,556.0,3.0,36.3,128.75,185515.0,219767.25,248881.5,279840.25,308155.5,328964.75,362544.45000000007,381935.0
DALES,wires,vegetation,556,556,1.0,counts_of_other_given_focus_present_and_other_present,556.0,1.0,12.0,136.0,16562.5,65803.5,120194.5,184359.75,260344.0,326909.75,449230.2500000003,733259.0
