dataset,class_id,class,n,q00,q01,q05,q10,q25,q50,q75,q90,q95,q99,q100
ECLAIR,1,ground,1424,1.0,28.0,264.1000000000001,1371.3000000000002,19733.75,108326.5,275213.25,578641.3000000002,802356.9499999988,1596110.3899999994,2458463.0
ECLAIR,2,vegetation,1371,1.0,2.700000000000001,58.5,455.0,9828.5,92455.0,265975.0,488768.0,763599.5,1407288.6999999983,2242531.0
ECLAIR,3,buildings,460,1.0,1.0,13.0,79.9,743.75,5298.0,21606.25,63518.100000000035,101276.1499999999,198931.19,322808.0
ECLAIR,4,wires,616,1.0,1.0,3.0,6.0,52.75,989.0,3687.5,9073.5,16675.5,60376.950000000106,298871.0
ECLAIR,5,poles,596,1.0,1.0,2.0,5.0,23.75,113.0,353.25,1507.5,2692.5,7269.999999999972,23156.0
ECLAIR,6,fence,612,1.0,1.0,1.0,3.0,11.75,131.0,877.25,2542.2,5543.649999999992,10245.869999999995,18666.0
ECLAIR,7,vehicle,386,1.0,1.0,4.0,10.5,103.0,446.5,1516.5,4089.0,6451.0,14492.449999999993,26109.0
DALES,1,ground,1506,1.0,2.0,10.0,20.0,73.0,212509.0,256784.5,300990.5,326515.25,365312.7500000001,400108.0
DALES,2,vegetation,1484,1.0,1.0,5.0,12.0,63.75,71574.0,160300.25,264251.1000000001,353869.8499999998,684079.1100000007,1104154.0
DALES,3,buildings,1225,1.0,2.0,6.0,10.400000000000006,84.0,69595.0,108109.0,139645.00000000006,161802.59999999995,212811.88,286620.0
DALES,4,wires,556,1.0,1.0,3.0,24.5,127.0,527.0,2283.75,4811.5,9514.25,13581.600000000006,17623.0
DALES,5,poles,760,1.0,2.0,33.0,57.70000000000002,135.0,286.5,597.75,1122.2,1674.4499999999996,2890.4299999999994,5966.0
DALES,6,fence,947,1.0,1.0,2.0,94.60000000000001,611.0,1749.0,3408.5,5298.199999999999,6331.299999999997,7602.719999999999,10526.0
DALES,7,vehicle,918,1.0,1.0,3.8500000000000014,70.7,1110.75,3879.5,6917.0,9816.2,11793.5,36733.750000000015,86385.0
