dataset,src_path,patch_ix,patch_iy,point_count,class_hist_nonzero,min_x,min_y,min_z,max_x,max_y,max_z,span_z,patch_area_m2,points_per_m2_proxy,voxel_size,coord_norm_factor,occupied_voxels,points_per_voxel_mean,points_per_voxel_q,intensity_q,return_number_q,number_of_returns_q
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_0.laz,0,0,1097,"{""1"": 6, ""2"": 1049, ""3"": 39, ""10"": 3}",360392.138,6671863.251,56.097,360399.999,6671899.992,64.211,8.113999999999997,10000.0,0.1097,0.05,10.0,638,1.719435736677116,"[1.0, 1.0, 1.0, 2.0, 4.0, 5.0]","[11971.0, 12514.76, 39471.0, 52580.03999999999, 54349.0]","[1.0, 1.0, 2.0, 4.0, 5.0]","[1.0, 1.0, 2.0, 4.0, 5.0]"
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1.laz,0,0,14593,"{""2"": 8758, ""3"": 5831, ""5"": 2, ""10"": 2}",360382.166,6671900.024,57.479,360399.998,6671999.99,72.164,14.685000000000002,10000.0,1.4593,0.05,10.0,7845,1.8601657106437222,"[1.0, 1.0, 2.0, 2.0, 5.0, 7.0]","[9545.0, 12483.12, 42441.0, 53245.4, 58584.0]","[1.0, 1.0, 1.0, 4.0, 7.0]","[1.0, 1.0, 2.0, 5.0, 7.0]"
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_10.laz,0,0,710166,"{""1"": 12, ""2"": 165169, ""3"": 544970, ""5"": 10, ""8"": 5}",360500.0,6671800.0,33.44,360599.999,6671899.999,96.07300000000001,62.63300000000001,10000.0,71.0166,0.05,10.0,255789,2.776374277236316,"[1.0, 1.0, 2.0, 4.0, 11.0, 34.0]","[588.0, 6550.0, 35726.0, 53708.0, 57953.0]","[1.0, 1.0, 1.0, 4.0, 8.0]","[1.0, 1.0, 2.0, 5.0, 8.0]"
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_100.laz,0,0,419583,"{""2"": 44343, ""3"": 375236, ""5"": 4}",361600.0,6671300.0,44.55,361699.999,6671399.974,108.095,63.545,10000.0,41.9583,0.05,10.0,209056,2.0070363921628656,"[1.0, 1.0, 1.0, 3.0, 7.0, 12.0]","[2128.0, 9826.0, 34572.0, 52297.0, 58018.0]","[1.0, 1.0, 2.0, 4.0, 8.0]","[1.0, 1.0, 2.0, 5.0, 8.0]"
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1000.laz,0,0,645800,"{""1"": 61, ""2"": 171093, ""3"": 474638, ""5"": 5, ""10"": 3}",366400.0,6676700.0,43.97,366499.999,6676799.999,117.656,73.686,10000.0,64.58,0.05,10.0,239937,2.691539862547252,"[1.0, 1.0, 2.0, 3.0, 11.0, 17.0]","[551.0, 9816.0, 38044.0, 53764.01000000001, 59216.0]","[1.0, 1.0, 1.0, 5.0, 8.0]","[1.0, 1.0, 2.0, 5.0, 8.0]"
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1001.laz,0,0,616958,"{""2"": 358147, ""3"": 245019, ""5"": 14, ""6"": 10305, ""7"": 934, ""8"": 224, ""9"": 2315}",366400.0,6676800.0,50.902,366499.999,6676899.999,121.159,70.257,10000.0,61.6958,0.05,10.0,152077,4.056879080991866,"[1.0, 1.0, 3.0, 6.0, 14.0, 18.0]","[720.0, 11843.0, 46407.0, 54010.0, 60969.0]","[1.0, 1.0, 1.0, 4.0, 8.0]","[1.0, 1.0, 1.0, 5.0, 8.0]"
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1002.laz,0,0,160984,"{""1"": 39, ""2"": 48390, ""3"": 112549, ""7"": 5, ""8"": 1}",366400.002,6676900.0,51.876000000000005,366499.999,6676954.807,79.701,27.82499999999999,10000.0,16.0984,0.05,10.0,69532,2.3152505321290917,"[1.0, 1.0, 2.0, 3.0, 8.0, 14.0]","[9020.0, 13375.83, 34534.0, 50066.17000000001, 55873.0]","[1.0, 1.0, 2.0, 4.0, 7.0]","[1.0, 1.0, 2.0, 5.0, 7.0]"
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1003.laz,0,0,540382,"{""1"": 9929, ""2"": 275971, ""3"": 152313, ""4"": 94240, ""5"": 30, ""7"": 7, ""8"": 143, ""10"": 5725, ""11"": 2024}",366500.0,6674313.373,23.277,366599.999,6674399.999,50.004,26.726999999999997,10000.0,54.0382,0.05,10.0,87417,6.181658029902651,"[1.0, 2.0, 4.0, 10.0, 20.0, 27.0]","[6351.0, 14441.99, 44522.0, 53104.0, 65535.0]","[1.0, 1.0, 1.0, 3.0, 7.0]","[1.0, 1.0, 1.0, 4.0, 7.0]"
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1004.laz,0,0,789510,"{""1"": 3400, ""2"": 576920, ""3"": 188567, ""4"": 3210, ""5"": 46, ""6"": 4884, ""8"": 387, ""10"": 10563, ""11"": 1533}",366500.0,6674400.0,19.113,366599.999,6674499.999,101.017,81.904,10000.0,78.951,0.05,10.0,111198,7.100037770463498,"[1.0, 2.0, 4.0, 12.0, 21.0, 27.0]","[1176.0, 12350.99, 45164.0, 52704.0, 65535.0]","[1.0, 1.0, 1.0, 3.0, 8.0]","[1.0, 1.0, 1.0, 4.0, 8.0]"
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1005.laz,0,0,354239,"{""1"": 7738, ""2"": 108442, ""3"": 217905, ""4"": 17920, ""7"": 8, ""8"": 96, ""10"": 555, ""11"": 1575}",366500.0,6674500.0,19.234,366599.999,6674585.975,46.266999999999996,27.032999999999994,10000.0,35.4239,0.05,10.0,115220,3.074457559451484,"[1.0, 1.0, 2.0, 4.0, 12.0, 20.0]","[9457.0, 14346.380000000001, 40013.0, 53367.619999999995, 65535.0]","[1.0, 1.0, 1.0, 4.0, 7.0]","[1.0, 1.0, 2.0, 5.0, 7.0]"
