dataset,path,point_count,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,density_points_per_m2_proxy,intensity_q,return_number_q,number_of_returns_q,intensity_hist_sum,return_number_hist_sum,number_of_returns_hist_sum,class_hist_sum
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_0.laz,1097,360392.138,6671863.251,56.097,360399.999,6671899.992,64.211,7.861000000033528,36.74099999945611,8.113999999999997,3.7982002562603148,"[11971.0, 12514.76, 39471.0, 52580.03999999999, 54349.0]","[1.0, 1.0, 2.0, 4.0, 5.0]","[1.0, 1.0, 2.0, 4.0, 5.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1.laz,14593,360382.166,6671900.024,57.479,360399.998,6671999.99,72.164,17.831999999994878,99.9660000000149,14.685000000000002,8.186385883538906,"[9545.0, 12483.12, 42441.0, 53245.4, 58584.0]","[1.0, 1.0, 1.0, 4.0, 7.0]","[1.0, 1.0, 2.0, 5.0, 7.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_10.laz,710166,360500.0,6671800.0,33.44,360599.999,6671899.999,96.07300000000001,99.99900000001071,99.99899999983609,62.63300000000001,71.01802035341406,"[588.0, 6550.0, 35726.0, 53708.0, 57953.0]","[1.0, 1.0, 1.0, 4.0, 8.0]","[1.0, 1.0, 2.0, 5.0, 8.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_100.laz,419583,361600.0,6671300.0,44.55,361699.999,6671399.974,108.095,99.99900000001071,99.97400000039488,63.545,41.96963169126538,"[2128.0, 9826.0, 34572.0, 52297.0, 58018.0]","[1.0, 1.0, 2.0, 4.0, 8.0]","[1.0, 1.0, 2.0, 5.0, 8.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1000.laz,645800,366400.0,6676700.0,43.97,366499.999,6676799.999,117.656,99.99900000001071,99.99899999983609,73.686,64.5812916194732,"[551.0, 9816.0, 38044.0, 53764.01000000001, 59216.0]","[1.0, 1.0, 1.0, 5.0, 8.0]","[1.0, 1.0, 2.0, 5.0, 8.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1001.laz,616958,366400.0,6676800.0,50.902,366499.999,6676899.999,121.159,99.99900000001071,99.99899999983609,70.257,61.69703393460351,"[720.0, 11843.0, 46407.0, 54010.0, 60969.0]","[1.0, 1.0, 1.0, 4.0, 8.0]","[1.0, 1.0, 1.0, 5.0, 8.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1002.laz,160984,366400.002,6676900.0,51.876000000000005,366499.999,6676954.807,79.701,99.99700000003213,54.8070000000298,27.82499999999999,29.373771537349366,"[9020.0, 13375.83, 34534.0, 50066.17000000001, 55873.0]","[1.0, 1.0, 2.0, 4.0, 7.0]","[1.0, 1.0, 2.0, 5.0, 7.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1003.laz,540382,366500.0,6674313.373,23.277,366599.999,6674399.999,50.004,99.99900000001071,86.62600000016391,26.726999999999997,62.381664150827504,"[6351.0, 14441.99, 44522.0, 53104.0, 65535.0]","[1.0, 1.0, 1.0, 3.0, 7.0]","[1.0, 1.0, 1.0, 4.0, 7.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1004.laz,789510,366500.0,6674400.0,19.113,366599.999,6674499.999,101.017,99.99900000001071,99.99899999983609,81.904,78.95257904380658,"[1176.0, 12350.99, 45164.0, 52704.0, 65535.0]","[1.0, 1.0, 1.0, 3.0, 8.0]","[1.0, 1.0, 1.0, 4.0, 8.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1005.laz,354239,366500.0,6674500.0,19.234,366599.999,6674585.975,46.266999999999996,99.99900000001071,85.97499999962747,27.032999999999994,41.20297091327959,"[9457.0, 14346.380000000001, 40013.0, 53367.619999999995, 65535.0]","[1.0, 1.0, 1.0, 4.0, 7.0]","[1.0, 1.0, 2.0, 5.0, 7.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1006.laz,381716,366500.0,6676713.29,43.31,366599.998,6676799.999,81.85900000000001,99.99800000002142,86.70899999979883,38.54900000000001,44.02353094528749,"[6517.0, 11701.0, 38881.0, 52700.0, 58311.0]","[1.0, 1.0, 1.0, 4.0, 7.0]","[1.0, 1.0, 2.0, 5.0, 7.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1007.laz,589850,366500.0,6676800.0,47.509,366599.999,6676899.999,120.58,99.99900000001071,99.99899999983609,73.071,58.9861797177861,"[1636.0, 10262.0, 47338.0, 54178.0, 59002.0]","[1.0, 1.0, 1.0, 4.0, 8.0]","[1.0, 1.0, 1.0, 5.0, 8.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
ECLAIR,/csehome/m23csa510/lidar_experiments/datasets/eclair/pointclouds/pointcloud_1008.laz,318790,366500.0,6676900.0,55.451,366599.999,6676981.027,86.463,99.99900000001071,81.02699999976903,31.011999999999993,39.34406900573314,"[4960.0, 10753.0, 38325.0, 52130.0, 56631.0]","[1.0, 1.0, 1.0, 4.0, 7.0]","[1.0, 1.0, 2.0, 5.0, 7.0]",global_ECLAIR_intensity,global_ECLAIR_return_number,global_ECLAIR_number_of_returns,global_ECLAIR_class
