epoch,tag,loss_name,voxel_size,focal_gamma,dice_smooth,mIoU_native,macroF1_native,mIoU_common,macroF1_common,wires_IoU_common,wires_recall_common,wires_precision_common,poles_IoU_common,poles_recall_common,poles_precision_common
5,ECLAIR_val,ce,0.15,2.0,1.0,0.6141820549964905,0.6718180179595947,0.8906865119934082,0.9392587542533875,0.9200183749198914,0.9222469329833984,0.9973803758621216,0.0,0.0,nan
5,DALES_test,ce,0.15,2.0,1.0,0.010631280019879341,0.02067715674638748,0.012045292183756828,0.0234207846224308,0.030983412638306618,0.05152469500899315,0.0721127986907959,0.00042542556184343994,0.0005320552736520767,0.002118268981575966
10,ECLAIR_val,ce,0.15,2.0,1.0,0.506408154964447,0.5962228178977966,0.6211084723472595,0.699353814125061,0.9673954248428345,0.9770784378051758,0.9898596405982971,0.32463186979293823,0.37480679154396057,0.7080292105674744
10,DALES_test,ce,0.15,2.0,1.0,0.01667492277920246,0.03175317123532295,0.01739800162613392,0.03299114108085632,0.07216020673513412,0.16416969895362854,0.11406676471233368,0.0010122254025191069,0.001227891887538135,0.005730058532208204
15,ECLAIR_val,ce,0.15,2.0,1.0,0.4666459858417511,0.5442102551460266,0.5681802034378052,0.6340457797050476,0.9304701089859009,0.935499370098114,0.9942554235458374,0.04723108932375908,0.04736144840717316,0.9449338912963867
15,DALES_test,ce,0.15,2.0,1.0,0.014808159321546555,0.028759215027093887,0.010257614776492119,0.02009914629161358,0.010723226703703403,0.16841697692871094,0.011322736740112305,0.007988853380084038,0.05856959894299507,0.009165843948721886
20,ECLAIR_val,ce,0.15,2.0,1.0,0.5906824469566345,0.6845993995666504,0.6959940791130066,0.7760452032089233,0.9683305621147156,0.9762977361679077,0.991642951965332,0.674281656742096,0.7331640720367432,0.8935683369636536
20,DALES_test,ce,0.15,2.0,1.0,0.018169064074754715,0.035083428025245667,0.016020577400922775,0.03089885041117668,0.047163430601358414,0.17883770167827606,0.06020032614469528,0.0007861577905714512,0.001007489045150578,0.00356579152867198
25,ECLAIR_val,ce,0.15,2.0,1.0,0.6226328611373901,0.7170527577400208,0.7282790541648865,0.8113815188407898,0.9725335836410522,0.9796008467674255,0.9926364421844482,0.6791940927505493,0.7741222977638245,0.8470644950866699
25,DALES_test,ce,0.15,2.0,1.0,0.020152976736426353,0.03884085267782211,0.016147568821907043,0.03125762194395065,0.042475368827581406,0.16355018317699432,0.05426311492919922,0.0015531843528151512,0.002307444578036666,0.00472905533388257
30,ECLAIR_val,ce,0.15,2.0,1.0,0.6246247887611389,0.7187278270721436,0.7163727879524231,0.7999268770217896,0.9613248705863953,0.9703121185302734,0.9904571175575256,0.6783365607261658,0.8085669875144958,0.8081209063529968
30,DALES_test,ce,0.15,2.0,1.0,0.014043770730495453,0.027394890785217285,0.012399563565850258,0.024206070229411125,0.011397047899663448,0.19624075293540955,0.011955110356211662,0.0008920311811380088,0.0011628472711890936,0.003815645119175315
35,ECLAIR_val,ce,0.15,2.0,1.0,0.6025861501693726,0.6974402070045471,0.6790999174118042,0.7631950974464417,0.951647162437439,0.9593818187713623,0.991599440574646,0.5158304572105408,0.5413998961448669,0.916121780872345
35,DALES_test,ce,0.15,2.0,1.0,0.013702917844057083,0.026745103299617767,0.012599573470652103,0.024582544341683388,0.022682270035147667,0.2134246677160263,0.024751370772719383,0.0008749241824261844,0.0011207320494577289,0.003973263781517744
40,ECLAIR_val,ce,0.15,2.0,1.0,0.6268314123153687,0.7179850935935974,0.6997083425521851,0.7795589566230774,0.9638671278953552,0.9729745984077454,0.9903820753097534,0.6425690650939941,0.703576922416687,0.8811005353927612
40,DALES_test,ce,0.15,2.0,1.0,0.01420446578413248,0.027720466256141663,0.013869578018784523,0.027076980099081993,0.021020233631134033,0.2457364797592163,0.022469986230134964,0.0035091328900307417,0.005188591778278351,0.0107249915599823
45,ECLAIR_val,ce,0.15,2.0,1.0,0.6166216135025024,0.7023338675498962,0.6838704347610474,0.7580036520957947,0.9634661674499512,0.9724541306495667,0.9904981255531311,0.6602866053581238,0.7274232506752014,0.8773635029792786
45,DALES_test,ce,0.15,2.0,1.0,0.01924719288945198,0.03713173046708107,0.017576422542333603,0.03399849310517311,0.021169159561395645,0.24629917740821838,0.022635480388998985,0.0014362387591972947,0.002243336057290435,0.003976169507950544
50,ECLAIR_val,ce,0.15,2.0,1.0,0.6201698780059814,0.7075993418693542,0.686940610408783,0.7637218832969666,0.9678879976272583,0.9756771326065063,0.9918192625045776,0.6180791854858398,0.7012585401535034,0.8389908671379089
50,DALES_test,ce,0.15,2.0,1.0,0.01654154621064663,0.0321473591029644,0.01623443327844143,0.031539447605609894,0.022787287831306458,0.21252921223640442,0.024888698011636734,0.0010270265629515052,0.0014010320883244276,0.003832516260445118
55,ECLAIR_val,ce,0.15,2.0,1.0,0.603168249130249,0.68526691198349,0.6739072203636169,0.7399319410324097,0.9703472852706909,0.9793605804443359,0.9906046390533447,0.6599618792533875,0.7642967700958252,0.8286056518554688
55,DALES_test,ce,0.15,2.0,1.0,0.016041835770010948,0.031202711164951324,0.015118696726858616,0.029429910704493523,0.01815732754766941,0.24451911449432373,0.019236495718359947,0.0010227725142613053,0.0013996282359585166,0.003784164786338806
60,ECLAIR_val,ce,0.15,2.0,1.0,0.605972170829773,0.6902666091918945,0.6780576705932617,0.7464990615844727,0.9698746204376221,0.9835044741630554,0.9859123826026917,0.6649333238601685,0.7764407396316528,0.8223807215690613
60,DALES_test,ce,0.15,2.0,1.0,0.01672567054629326,0.032461054623126984,0.01528792642056942,0.029777169227600098,0.017178134992718697,0.23760171234607697,0.018180226907134056,0.0016848850063979626,0.002510065445676446,0.00509901437908411
65,ECLAIR_val,ce,0.15,2.0,1.0,0.607909619808197,0.6919593214988708,0.6781771779060364,0.7464176416397095,0.9720538258552551,0.9852861762046814,0.986372172832489,0.6642104387283325,0.7861558794975281,0.8106784820556641
65,DALES_test,ce,0.15,2.0,1.0,0.01640319637954235,0.031877219676971436,0.015562757849693298,0.030283508822321892,0.01705920323729515,0.22981323301792145,0.018093643710017204,0.0010920813074335456,0.0015278456266969442,0.0038143726997077465
70,ECLAIR_val,ce,0.15,2.0,1.0,0.599715530872345,0.683151125907898,0.6670145392417908,0.7330578565597534,0.9669825434684753,0.9785197973251343,0.987953782081604,0.6494371294975281,0.7323912382125854,0.8514953255653381
70,DALES_test,ce,0.15,2.0,1.0,0.016002949327230453,0.03113245591521263,0.014861851930618286,0.028955504298210144,0.01960953138768673,0.24272550642490387,0.020887410268187523,0.001182022737339139,0.0016485758824273944,0.004159332253038883
75,ECLAIR_val,ce,0.15,2.0,1.0,0.5980392694473267,0.6827923059463501,0.6677430272102356,0.7346133589744568,0.9653933048248291,0.9783996939659119,0.9864169359207153,0.6456456184387207,0.7120777368545532,0.873746931552887
75,DALES_test,ce,0.15,2.0,1.0,0.015658525750041008,0.030488602817058563,0.014547047205269337,0.02836121805012226,0.017935587093234062,0.2516583204269409,0.018946055322885513,0.0012247331906110048,0.0017108127940446138,0.004292087163776159
80,ECLAIR_val,ce,0.15,2.0,1.0,0.582996129989624,0.6707725524902344,0.6662663221359253,0.734484076499939,0.9678397178649902,0.9777790904045105,0.9896061420440674,0.6261220574378967,0.6853610277175903,0.8786978125572205
