epoch,tag,loss_name,voxel_size,focal_gamma,dice_smooth,mIoU_native,macroF1_native,mIoU_common,macroF1_common,wires_IoU_common,wires_recall_common,wires_precision_common,poles_IoU_common,poles_recall_common,poles_precision_common
5,ECLAIR_val,focal,0.15,2.0,1.0,0.44113636016845703,0.48554959893226624,0.5933638215065002,0.6260883808135986,0.9546946287155151,0.9609633088111877,0.9932134747505188,0.0011039964156225324,0.0011039964156225324,1.0
5,DALES_test,focal,0.15,2.0,1.0,0.010123858228325844,0.019721155986189842,0.011241762898862362,0.021883400157094002,0.02732640877366066,0.0996650904417038,0.036283109337091446,0.0009842036524787545,0.0013313080416992307,0.0037606856785714626
10,ECLAIR_val,focal,0.15,2.0,1.0,0.5061349868774414,0.5903226733207703,0.6466038823127747,0.7298212647438049,0.9689260721206665,0.9743959307670593,0.9942397475242615,0.4551621973514557,0.6444027423858643,0.6078308820724487
10,DALES_test,focal,0.15,2.0,1.0,0.00988074205815792,0.019405463710427284,0.00741790235042572,0.014568568207323551,0.006613174453377724,0.12530028820037842,0.006933250930160284,0.0021984290797263384,0.004479652736335993,0.004298511426895857
15,ECLAIR_val,focal,0.15,2.0,1.0,0.4513726234436035,0.5387682318687439,0.6003208756446838,0.6713554263114929,0.9456971883773804,0.9503733515739441,0.9948240518569946,0.05712719261646271,0.05751821771264076,0.8936535120010376
15,DALES_test,focal,0.15,2.0,1.0,0.013179203495383263,0.025701025500893593,0.011449462734162807,0.0223047137260437,0.029553918167948723,0.21028383076190948,0.03324359282851219,0.003111467696726322,0.00883155595511198,0.004780997056514025
20,ECLAIR_val,focal,0.15,2.0,1.0,0.5491962432861328,0.6501996517181396,0.646124005317688,0.7310460209846497,0.9572019577026367,0.982323408126831,0.9739782810211182,0.4295646548271179,0.4433649778366089,0.9324355721473694
20,DALES_test,focal,0.15,2.0,1.0,0.01600060425698757,0.030638085678219795,0.014590999111533165,0.028325902298092842,0.009317693300545216,0.25818076729774475,0.009574010036885738,0.003682144917547703,0.011013123206794262,0.005501152947545052
25,ECLAIR_val,focal,0.15,2.0,1.0,0.6048895120620728,0.7002973556518555,0.6942713856697083,0.7803824543952942,0.9710304737091064,0.9863871932029724,0.9842199087142944,0.5851108431816101,0.7661735415458679,0.7123062610626221
25,DALES_test,focal,0.15,2.0,1.0,0.0185682475566864,0.03563586622476578,0.017208045348525047,0.03345011919736862,0.007579717319458723,0.1572658270597458,0.007900618016719818,0.002587768714874983,0.010753880254924297,0.0033962358720600605
30,ECLAIR_val,focal,0.15,2.0,1.0,0.6081123352050781,0.7102771401405334,0.705452024936676,0.7938494086265564,0.9616215825080872,0.9796208143234253,0.9812512397766113,0.6050135493278503,0.6901081800460815,0.8306976556777954
30,DALES_test,focal,0.15,2.0,1.0,0.010957691818475723,0.021399419754743576,0.01025372464209795,0.020089900121092796,0.0024449999909847975,0.2622927725315094,0.002461930038407445,0.001381110050715506,0.0030664540827274323,0.0025066069792956114
35,ECLAIR_val,focal,0.15,2.0,1.0,0.6033684015274048,0.7036891579627991,0.6900348663330078,0.7776735424995422,0.9769003987312317,0.9871479272842407,0.9894853234291077,0.5417523384094238,0.6109516620635986,0.8270811438560486
35,DALES_test,focal,0.15,2.0,1.0,0.01048089750111103,0.02057012915611267,0.010615671053528786,0.02083618752658367,0.009049625135958195,0.2789897322654724,0.009266342036426067,0.0014356564497575164,0.003918584901839495,0.0022606465499848127
40,ECLAIR_val,focal,0.15,2.0,1.0,0.5987153053283691,0.6972033977508545,0.6992877721786499,0.7850365042686462,0.977177619934082,0.9865673780441284,0.990354061126709,0.5449643135070801,0.6917641758918762,0.7197335362434387
40,DALES_test,focal,0.15,2.0,1.0,0.008953250013291836,0.017579780891537666,0.009086386300623417,0.01784227043390274,0.007064225152134895,0.29555416107177734,0.007185205351561308,0.0010438935132697225,0.0022962139919400215,0.0019103925442323089
45,ECLAIR_val,focal,0.15,2.0,1.0,0.6158292293548584,0.7121192812919617,0.7089289426803589,0.7931404113769531,0.9765586256980896,0.9849258065223694,0.9913758635520935,0.6369000673294067,0.7984102368354797,0.7589463591575623
45,DALES_test,focal,0.15,2.0,1.0,0.011117542162537575,0.02173979952931404,0.01057467795908451,0.020708058029413223,0.006783978082239628,0.24696198105812073,0.006927273701876402,0.002325858222320676,0.006288266275078058,0.0036775190383195877
50,ECLAIR_val,focal,0.15,2.0,1.0,0.610709547996521,0.7098510265350342,0.7100608944892883,0.7927290797233582,0.9791067242622375,0.9878485798835754,0.9910427331924438,0.6433863639831543,0.7861558794975281,0.7798707485198975
50,DALES_test,focal,0.15,2.0,1.0,0.011149284429848194,0.021864015609025955,0.011238432489335537,0.022016480565071106,0.014913897961378098,0.27314093708992004,0.015530256554484367,0.0005866859573870897,0.0009246624540537596,0.0016025289660319686
55,ECLAIR_val,focal,0.15,2.0,1.0,0.6094690561294556,0.7066918015480042,0.707258403301239,0.788670539855957,0.975224494934082,0.984985888004303,0.9899402260780334,0.6519561409950256,0.833406925201416,0.7496524453163147
