epoch,tag,loss_name,voxel_size,focal_gamma,dice_smooth,mIoU_native,macroF1_native,mIoU_common,macroF1_common,wires_IoU_common,wires_recall_common,wires_precision_common,poles_IoU_common,poles_recall_common,poles_precision_common
5,ECLAIR_val,dice,0.15,2.0,1.0,0.9517420530319214,0.975270688533783,0.9519707560539246,0.9753909111022949,0.0,0.0,nan,0.0,0.0,nan
5,DALES_test,dice,0.15,2.0,1.0,0.025439735502004623,0.04936648905277252,0.025439737364649773,0.04936649277806282,0.0,0.0,nan,0.0,0.0,nan
10,ECLAIR_val,dice,0.15,2.0,1.0,0.9493699073791504,0.9740263819694519,0.9495868682861328,0.9741405248641968,0.0,0.0,nan,0.0,0.0,nan
10,DALES_test,dice,0.15,2.0,1.0,0.028890840709209442,0.05570206791162491,0.028890840709209442,0.05570206791162491,0.0,0.0,nan,0.0,0.0,nan
15,ECLAIR_val,dice,0.15,2.0,1.0,0.9528362154960632,0.975847065448761,0.9530632495880127,0.9759661555290222,0.0,0.0,nan,0.0,0.0,nan
15,DALES_test,dice,0.15,2.0,1.0,0.032490599900484085,0.06236722320318222,0.032490599900484085,0.06236722692847252,0.0,0.0,nan,0.0,0.0,nan
20,ECLAIR_val,dice,0.15,2.0,1.0,0.9531384706497192,0.9760058522224426,0.9533664584159851,0.9761254787445068,0.0,0.0,nan,0.0,0.0,nan
20,DALES_test,dice,0.15,2.0,1.0,0.03211979568004608,0.06160898134112358,0.03211979568004608,0.06160898134112358,0.0,0.0,nan,0.0,0.0,nan
25,ECLAIR_val,dice,0.15,2.0,1.0,0.9530442953109741,0.9759571552276611,0.9532691836357117,0.9760750532150269,0.0,0.0,nan,0.0,0.0,nan
25,DALES_test,dice,0.15,2.0,1.0,0.032076310366392136,0.06145073473453522,0.032076310366392136,0.06145073473453522,0.0,0.0,nan,0.0,0.0,nan
30,ECLAIR_val,dice,0.15,2.0,1.0,0.9528492093086243,0.9758553504943848,0.9530781507492065,0.9759753942489624,0.0,0.0,nan,0.0,0.0,nan
30,DALES_test,dice,0.15,2.0,1.0,0.03952481225132942,0.07492738217115402,0.03952481597661972,0.07492738962173462,0.0,0.0,nan,0.0,0.0,nan
35,ECLAIR_val,dice,0.15,2.0,1.0,0.9550443887710571,0.9770025014877319,0.9552754759788513,0.9771236181259155,0.0,0.0,nan,0.0,0.0,nan
35,DALES_test,dice,0.15,2.0,1.0,0.03099515475332737,0.05959051102399826,0.03099515475332737,0.05959051102399826,0.0,0.0,nan,0.0,0.0,nan
40,ECLAIR_val,dice,0.15,2.0,1.0,0.9546400308609009,0.9767923355102539,0.9548706412315369,0.9769132137298584,0.0,0.0,nan,0.0,0.0,nan
40,DALES_test,dice,0.15,2.0,1.0,0.030601294711232185,0.058888427913188934,0.030601296573877335,0.058888427913188934,0.0,0.0,nan,0.0,0.0,nan
45,ECLAIR_val,dice,0.15,2.0,1.0,0.954613208770752,0.9767773151397705,0.9548436999320984,0.9768980741500854,0.0,0.0,nan,0.0,0.0,nan
45,DALES_test,dice,0.15,2.0,1.0,0.03067488595843315,0.05901748314499855,0.03067488968372345,0.05901748687028885,0.0,0.0,nan,0.0,0.0,nan
50,ECLAIR_val,dice,0.15,2.0,1.0,0.9544676542282104,0.9767032861709595,0.9546961784362793,0.9768229126930237,0.0,0.0,nan,0.0,0.0,nan
50,DALES_test,dice,0.15,2.0,1.0,0.0315319299697876,0.0605783611536026,0.0315319299697876,0.0605783611536026,0.0,0.0,nan,0.0,0.0,nan
55,ECLAIR_val,dice,0.15,2.0,1.0,0.9536765813827515,0.9762888550758362,0.9539006948471069,0.9764062762260437,0.0,0.0,nan,0.0,0.0,nan
55,DALES_test,dice,0.15,2.0,1.0,0.03101823851466179,0.0596688911318779,0.03101823851466179,0.0596688911318779,0.0,0.0,nan,0.0,0.0,nan
60,ECLAIR_val,dice,0.15,2.0,1.0,0.9546643495559692,0.9768061637878418,0.9548935294151306,0.9769262075424194,0.0,0.0,nan,0.0,0.0,nan
60,DALES_test,dice,0.15,2.0,1.0,0.03053651750087738,0.058734532445669174,0.03053651750087738,0.058734532445669174,0.0,0.0,nan,0.0,0.0,nan
65,ECLAIR_val,dice,0.15,2.0,1.0,0.9512253403663635,0.9750030040740967,0.9514492750167847,0.9751206040382385,0.0,0.0,nan,0.0,0.0,nan
65,DALES_test,dice,0.15,2.0,1.0,0.0356893353164196,0.06807919591665268,0.0356893315911293,0.06807919591665268,0.0,0.0,nan,0.0,0.0,nan
70,ECLAIR_val,dice,0.15,2.0,1.0,0.9545886516571045,0.9767661094665527,0.9548176527023315,0.9768860340118408,0.0,0.0,nan,0.0,0.0,nan
70,DALES_test,dice,0.15,2.0,1.0,0.029879912734031677,0.05752692371606827,0.029879912734031677,0.05752692371606827,0.0,0.0,nan,0.0,0.0,nan
75,ECLAIR_val,dice,0.15,2.0,1.0,0.9543871879577637,0.9766578674316406,0.9546163082122803,0.9767779111862183,0.0,0.0,nan,0.0,0.0,nan
75,DALES_test,dice,0.15,2.0,1.0,0.029540061950683594,0.056880999356508255,0.029540061950683594,0.056880999356508255,0.0,0.0,nan,0.0,0.0,nan
80,ECLAIR_val,dice,0.15,2.0,1.0,0.9544292688369751,0.9766800403594971,0.9546582698822021,0.9768000245094299,0.0,0.0,nan,0.0,0.0,nan
80,DALES_test,dice,0.15,2.0,1.0,0.02927713841199875,0.05640363693237305,0.02927713841199875,0.05640363693237305,0.0,0.0,nan,0.0,0.0,nan
