epoch,tag,loss_name,voxel_size,focal_gamma,dice_smooth,mIoU_native,macroF1_native,mIoU_common,macroF1_common,wires_IoU_common,wires_recall_common,wires_precision_common,poles_IoU_common,poles_recall_common,poles_precision_common
5,ECLAIR_val,class_balanced,0.15,2.0,1.0,0.47686779499053955,0.5205175876617432,0.6283009648323059,0.6698238253593445,0.9478182792663574,0.9523151516914368,0.9950426816940308,0.0016559946816414595,0.0016559946816414595,1.0
5,DALES_test,class_balanced,0.15,2.0,1.0,0.011574293486773968,0.022488173097372055,0.012986674904823303,0.025219330564141273,0.03523583337664604,0.05112431198358536,0.10183264315128326,0.003382447175681591,0.004384191706776619,0.014587527140974998
10,ECLAIR_val,class_balanced,0.15,2.0,1.0,0.5277376770973206,0.624256432056427,0.6391644477844238,0.7211583256721497,0.9629161953926086,0.9772385954856873,0.9850077629089355,0.4639648497104645,0.5245087146759033,0.8007753491401672
10,DALES_test,class_balanced,0.15,2.0,1.0,0.015591171570122242,0.029861070215702057,0.01612008549273014,0.030755892395973206,0.05996248498558998,0.10447236150503159,0.12337782979011536,0.00044216198148205876,0.0005755742895416915,0.001903965836390853
15,ECLAIR_val,class_balanced,0.15,2.0,1.0,0.5242119431495667,0.6212242245674133,0.7013630867004395,0.7834122180938721,0.945183277130127,0.9816827774047852,0.9621520042419434,0.4331018626689911,0.4613601267337799,0.8761005997657776
15,DALES_test,class_balanced,0.15,2.0,1.0,0.02154466323554516,0.041408296674489975,0.018333088606595993,0.035244084894657135,0.05026816204190254,0.32473325729370117,0.05613607168197632,0.0005424813716672361,0.0007683683070354164,0.0018418850377202034
20,ECLAIR_val,class_balanced,0.15,2.0,1.0,0.5862979888916016,0.6766481995582581,0.6740669012069702,0.7483788728713989,0.9727485775947571,0.987548291683197,0.9848276376724243,0.6323851346969604,0.6700154542922974,0.9184321761131287
20,DALES_test,class_balanced,0.15,2.0,1.0,0.021966537460684776,0.04191691428422928,0.019643006846308708,0.03734540939331055,0.07125890254974365,0.1659632921218872,0.11101359874010086,0.0027614450082182884,0.003428644733503461,0.013992116786539555
25,ECLAIR_val,class_balanced,0.15,2.0,1.0,0.6199555397033691,0.7107923626899719,0.7099523544311523,0.7881221175193787,0.973946213722229,0.9810822010040283,0.9925872087478638,0.7052909135818481,0.7976374626159668,0.85899418592453
25,DALES_test,class_balanced,0.15,2.0,1.0,0.022207655012607574,0.04266912117600441,0.017558572813868523,0.03389255329966545,0.04361613839864731,0.1509895920753479,0.05778903886675835,0.02737102285027504,0.04595516249537468,0.06339286267757416
