epoch,tag,loss_name,voxel_size,focal_gamma,dice_smooth,mIoU_native,macroF1_native,mIoU_common,macroF1_common,wires_IoU_common,wires_recall_common,wires_precision_common,poles_IoU_common,poles_recall_common,poles_precision_common
5,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.49516186118125916,0.5655672550201416,0.5863978266716003,0.6426792740821838,0.9142365455627441,0.9150601625442505,0.999016523361206,0.08320048451423645,0.12099801003932953,0.21032431721687317
5,DALES_test,dice_lovasz,0.15,2.0,1.0,0.009590805508196354,0.018731724470853806,0.010273275896906853,0.020015262067317963,0.0,0.0,nan,0.0,0.0,0.0
10,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.4801410734653473,0.5430269837379456,0.5882681012153625,0.646212100982666,0.8671457171440125,0.8672151565551758,0.9999076724052429,0.07213374227285385,0.17100904881954193,0.11092016100883484
10,DALES_test,dice_lovasz,0.15,2.0,1.0,0.010580891743302345,0.02068495564162731,0.008368589915335178,0.016315389424562454,0.0,0.0,nan,8.968161637312733e-06,9.826878340390977e-06,0.00010261822899337858
15,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5310866236686707,0.6044653654098511,0.6022992134094238,0.6569585204124451,0.918843686580658,0.918843686580658,1.0,0.07995161414146423,0.08026054501533508,0.9540682435035706
15,DALES_test,dice_lovasz,0.15,2.0,1.0,0.010090046562254429,0.019768312573432922,0.00845185574144125,0.016498440876603127,0.0,0.0,nan,6.554315041285008e-05,7.533940515713766e-05,0.0005038146045990288
20,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5457228422164917,0.6191420555114746,0.6205427050590515,0.6786787509918213,0.9171420931816101,0.9171420931816101,1.0,0.12250658869743347,0.14374034106731415,0.45334261655807495
20,DALES_test,dice_lovasz,0.15,2.0,1.0,0.010998922400176525,0.021282318979501724,0.011135685257613659,0.021454595029354095,0.0,0.0,nan,8.232021286858071e-07,9.358931833958195e-07,6.836601642135065e-06
25,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5840563178062439,0.6554003953933716,0.6257720589637756,0.683966875076294,0.9296126961708069,0.9306548237800598,0.9987968802452087,0.1392887383699417,0.1452859342098236,0.7713950872421265
25,DALES_test,dice_lovasz,0.15,2.0,1.0,0.010378466919064522,0.02011628821492195,0.010560465045273304,0.020388495177030563,0.0,0.0,nan,8.244393256973126e-07,9.358931833958195e-07,6.9228826760081574e-06
30,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5596690773963928,0.6355487704277039,0.6665668487548828,0.7345850467681885,0.9484999179840088,0.9512341618537903,0.9969786405563354,0.24625107645988464,0.25380879640579224,0.8921226263046265
30,DALES_test,dice_lovasz,0.15,2.0,1.0,0.010723164305090904,0.02097007818520069,0.01000648457556963,0.019505834206938744,0.0,0.0,nan,8.234871984313941e-07,9.358931833958195e-07,6.856312211311888e-06
35,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5703898668289185,0.6422225832939148,0.6499251127243042,0.7143652439117432,0.9349815845489502,0.9364602565765381,0.9983140826225281,0.24320535361766815,0.24895119667053223,0.9133252501487732
35,DALES_test,dice_lovasz,0.15,2.0,1.0,0.012671228498220444,0.02469000034034252,0.012270012870430946,0.023809021338820457,0.0,0.0,nan,0.0,0.0,0.0
40,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5657816529273987,0.6355759501457214,0.6879544258117676,0.753402054309845,0.9514782428741455,0.960582971572876,0.9901366233825684,0.4009316563606262,0.40858909487724304,0.9553433060646057
40,DALES_test,dice_lovasz,0.15,2.0,1.0,0.010519667528569698,0.020543793216347694,0.009866028092801571,0.01919209025800228,0.0,0.0,nan,4.477205038710963e-06,5.1474125939421356e-06,3.4385207982268184e-05
45,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5845844149589539,0.6561710238456726,0.6529191136360168,0.7116305232048035,0.9447041153907776,0.9466899037361145,0.9977845549583435,0.18641206622123718,0.19507618248462677,0.8075868487358093
45,DALES_test,dice_lovasz,0.15,2.0,1.0,0.01248601358383894,0.02440759725868702,0.011995627544820309,0.023360904306173325,0.0,0.0,nan,0.0,0.0,0.0
50,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.573065459728241,0.6444219350814819,0.68524569272995,0.7484733462333679,0.9512151479721069,0.9582607746124268,0.9923297166824341,0.3392188251018524,0.3499668836593628,0.9169800281524658
50,DALES_test,dice_lovasz,0.15,2.0,1.0,0.010975264012813568,0.021489445120096207,0.009536518715322018,0.01860486902296543,0.0,0.0,nan,2.7238798793405294e-05,3.182036743965e-05,0.00018914580869022757
55,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5859953761100769,0.656761109828949,0.6667921543121338,0.7270352244377136,0.9518688917160034,0.9568994641304016,0.9945073127746582,0.24989251792430878,0.2566791772842407,0.9043173789978027
55,DALES_test,dice_lovasz,0.15,2.0,1.0,0.01197346206754446,0.0234332587569952,0.010171554051339626,0.019849363714456558,0.0,0.0,nan,2.3777130991220474e-05,2.7608848540694453e-05,0.00017129302432294935
60,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5845956206321716,0.6572133302688599,0.6723447442054749,0.7371575236320496,0.950890839099884,0.9562588930130005,0.9941310882568359,0.27020981907844543,0.28008389472961426,0.8845885396003723
60,DALES_test,dice_lovasz,0.15,2.0,1.0,0.012711182236671448,0.024799231439828873,0.011180993169546127,0.021745944395661354,0.0,0.0,nan,4.489029379328713e-05,5.2877963753417134e-05,0.0002970830537378788
65,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5977471470832825,0.6696951985359192,0.6537366509437561,0.7121946215629578,0.9425608515739441,0.9460893273353577,0.9960587620735168,0.16192324459552765,0.16582027077674866,0.8732557892799377
65,DALES_test,dice_lovasz,0.15,2.0,1.0,0.013881752267479897,0.027040908113121986,0.01200591865926981,0.023300981149077415,0.0,0.0,nan,3.822958024102263e-05,4.398698001750745e-05,0.00029199165874160826
70,ECLAIR_val,dice_lovasz,0.15,2.0,1.0,0.5904146432876587,0.6661400198936462,0.659321129322052,0.7242236137390137,0.9468091726303101,0.9507136940956116,0.9956810474395752,0.20447969436645508,0.21064253151416779,0.874828040599823
